year,month,day,hour,lat,lon,sog,cog,hdg,khnp_buoy.ws,khnp_buoy.wd,kma_lightbecon.ws,kma_lightbecon.wd,kma_pagobuoy.max_wh,kma_pagobuoy.sig_wh,kma_pagobuoy.mean_wh,answer
2021,1,3,11,35.461795,129.439645,0.3,223.1,270.8,12.74,3,7.13,15.0,0.9,0.7,0.45,0
2021,1,3,12,35.461893,129.439751,0.2,199.1,267.8,30.99,3,9.75,14.0,1.05,0.7,0.4,0
2021,1,3,13,35.462383,129.439421,0.2,247.0,256.6,53.41,3,8.24,14.0,1.0,0.75,0.5,0
2021,1,3,14,35.462969,129.438757,0.2,200.8,236.1,65.69,3,5.79,15.0,1.2,0.9,0.55,0
2021,1,3,15,35.463078,129.438413,0.2,168.7,225.8,65.5,3,4.85,1.0,1.5,0.9,0.6,0
2021,1,3,16,35.463008,129.438349,0.2,134.5,228.0,55.49,3,3.4,14.0,1.3,0.9,0.6,0
2021,1,3,17,35.462906,129.438203,0.2,171.8,225.3,40.28,3,5.47,14.0,1.25,0.85,0.55,0
2021,1,3,18,35.462787,129.438195,0.2,79.3,229.2,28.87,3,4.86,14.0,1.05,0.75,0.55,0
2021,1,3,19,35.462522,129.438287,0.2,168.3,251.4,13.12,3,5.25,14.0,1.0,0.7,0.45,0
2021,1,3,20,35.462293,129.438782,0.3,128.9,267.6,13.03,8,2.49,14.0,1.0,0.7,0.45,0
2021,1,3,21,35.461897,129.439017,0.4,151.8,281.8,14.84,8,3.13,14.0,0.75,0.55,0.35,0
2021,1,3,22,35.462092,129.439093,0.3,255.9,275.8,9.46,10,2.83,14.0,0.95,0.65,0.45,0
2021,1,3,23,35.462599,129.438718,0.2,200.8,251.5,8.32,1,4.9,14.0,0.95,0.7,0.45,0
2021,1,4,0,35.462643,129.438826,0.2,167.7,251.0,8.24,5,6.81,15.0,0.95,0.65,0.45,0
2021,1,4,1,35.462725,129.438656,0.2,194.1,243.9,8.58,4,3.59,14.0,0.95,0.6,0.35,0
2021,1,4,2,35.462726,129.438615,0.1,166.4,244.8,7.22,5,3.01,14.0,0.9,0.6,0.4,0
2021,1,4,3,35.462806,129.438295,0.1,176.4,235.8,8.32,2,6.26,14.0,0.95,0.7,0.45,0
2021,1,4,4,35.462483,129.438774,0.2,117.8,254.6,6.33,7,7.76,14.0,0.95,0.6,0.4,0
2021,1,4,5,35.461248,129.439142,0.3,154.2,292.2,4.56,8,4.0,2.0,0.85,0.6,0.4,0
2021,1,4,6,35.460971,129.437142,0.2,242.7,84.8,26.1,8,3.5,1.0,0.85,0.6,0.4,0
2021,1,4,7,35.460879,129.43714,0.1,136.9,26.6,39.29,8,3.53,1.0,0.8,0.55,0.35,0
2021,1,4,8,35.460776,129.43775,0.2,182.7,199.0,34.58,8,4.8,15.0,0.85,0.6,0.35,0
2021,1,4,9,35.457375,129.433102,0.3,203.5,138.6,26.83,8,4.31,14.0,0.9,0.65,0.4,0
2021,1,4,10,35.450986,129.424238,0.3,185.1,109.3,18.77,8,3.27,14.0,0.85,0.65,0.4,0
2021,1,4,11,35.447635,129.420291,0.4,119.9,233.4,6.76,5,6.98,15.0,0.95,0.7,0.45,0
2021,1,4,12,35.448264,129.421067,0.6,164.4,295.9,7.64,2,7.1,15.0,0.95,0.65,0.4,0
2021,1,4,13,35.458306,129.416394,0.3,191.4,286.8,9.14,6,4.32,15.0,1.1,0.65,0.4,0
2021,1,4,14,35.458697,129.416441,0.1,203.6,264.9,18.65,6,4.54,15.0,1.15,0.8,0.5,0
2021,1,4,15,35.458297,129.416498,0.1,186.4,256.6,35.91,6,5.25,1.0,1.2,0.9,0.6,0
2021,1,4,16,35.457745,129.416378,0.1,235.2,242.9,30.92,6,4.49,1.0,1.2,0.8,0.6,0
2021,1,4,17,35.457565,129.416367,0.1,190.6,246.5,19.15,3,4.1,1.0,1.15,0.8,0.5,0
2021,1,4,18,35.456956,129.416434,0.1,218.1,279.8,14.54,4,2.34,15.0,1.25,0.85,0.5,0
2021,1,4,19,35.456506,129.415442,0.2,219.4,124.7,11.9,2,2.36,15.0,1.0,0.7,0.5,0
2021,1,4,20,35.456155,129.415958,0.1,179.7,281.8,23.24,3,1.66,14.0,0.9,0.65,0.45,0
2021,1,4,21,35.456293,129.416415,0.1,158.4,321.6,23.3,3,1.97,14.0,0.9,0.65,0.45,0
2021,1,4,22,35.456636,129.41665,0.1,217.4,295.4,24.95,3,4.5,13.0,0.9,0.7,0.45,0
2021,1,4,23,35.457064,129.416674,0.1,210.8,259.8,26.58,3,4.33,13.0,0.8,0.55,0.35,0
2021,1,5,0,35.455609,129.417053,0.1,168.2,246.9,31.27,3,3.97,13.0,0.85,0.55,0.35,0
2021,1,5,1,35.447467,129.419058,0.1,189.5,247.0,31.06,3,4.56,13.0,0.65,0.5,0.35,0
2021,1,5,2,35.447435,129.418825,0.1,147.7,234.5,30.7,3,3.89,12.0,0.65,0.45,0.3,0
2021,1,5,3,35.447586,129.418884,0.1,167.1,222.9,23.72,3,4.18,12.0,0.55,0.4,0.25,0
2021,1,5,4,35.447279,129.419219,0.1,151.3,229.5,20.85,3,3.33,13.0,0.6,0.45,0.25,0
2021,1,5,5,35.447766,129.419022,0.1,195.5,226.2,9.89,3,3.1,13.0,0.55,0.35,0.25,0
2021,1,5,6,35.451791,129.418712,0.1,181.2,268.7,7.03,10,3.03,14.0,0.6,0.4,0.25,0
2021,1,5,7,35.453214,129.41823,0.2,193.1,328.0,27.93,8,3.72,13.0,0.55,0.4,0.25,0
2021,1,5,8,35.452915,129.417945,0.2,236.1,337.0,35.06,8,4.8,15.0,0.5,0.35,0.2,0
2021,1,5,9,35.452717,129.417884,0.2,230.9,269.0,32.42,8,5.67,15.0,0.6,0.4,0.25,0
2021,1,5,10,35.452725,129.41789,0.1,242.3,224.7,26.49,8,6.37,15.0,0.6,0.4,0.25,0
2021,1,6,11,35.449006,129.443864,0.7,174.5,198.6,14.26,8,8.68,15.0,1.25,0.9,0.55,0
2021,1,6,12,35.448339,129.445091,0.2,105.3,323.9,14.08,8,6.69,15.0,1.1,0.85,0.55,0
2021,1,6,13,35.448753,129.445404,0.2,126.6,307.8,7.9,3,6.61,14.0,1.25,0.9,0.6,0
2021,1,6,14,35.449878,129.445333,0.1,162.6,268.3,9.47,3,5.47,14.0,1.1,0.85,0.55,0
2021,1,6,15,35.450286,129.444673,0.1,183.3,243.6,7.59,6,7.44,15.0,1.3,0.9,0.6,0
2021,1,9,5,35.42288,129.456931,0.6,158.1,292.5,7.7,2,6.95,12.0,1.0,0.75,0.5,0
2021,1,9,6,35.423437,129.456955,0.5,281.5,280.6,17.5,3,5.16,2.0,0.95,0.75,0.45,0
2021,1,9,7,35.423503,129.463237,0.4,205.4,268.4,8.62,15,5.77,14.0,1.0,0.8,0.5,0
2021,1,9,8,35.42417,129.462574,0.2,256.2,258.8,8.2,0,3.31,14.0,1.2,0.8,0.5,0
2021,1,9,9,35.442958,129.45472,0.9,170.4,270.8,12.93,5,4.3,1.0,1.3,0.85,0.55,0
2021,1,9,10,35.44769,129.453126,0.8,177.9,275.0,9.87,1,4.28,14.0,1.0,0.75,0.5,0
2021,1,9,11,35.449764,129.451452,1.0,158.3,300.3,8.91,0,6.92,1.0,1.1,0.8,0.55,0
2021,1,9,12,35.45219,129.449406,1.1,167.7,314.2,10.71,1,5.55,14.0,1.05,0.7,0.45,0
2021,1,9,14,35.451498,129.449239,1.0,149.4,324.3,10.91,2,9.85,14.0,0.85,0.65,0.4,0
2021,1,9,15,35.445735,129.451273,0.8,133.2,295.4,13.5,2,5.86,14.0,1.05,0.7,0.45,0
2021,1,9,16,35.448345,129.450615,0.8,155.9,294.2,19.8,3,6.55,14.0,0.9,0.65,0.4,0
2021,1,9,17,35.445527,129.451245,0.7,157.1,287.7,25.28,3,6.46,15.0,0.85,0.65,0.4,0
2021,1,9,18,35.440178,129.452625,0.5,161.3,270.6,31.79,3,6.39,15.0,0.85,0.6,0.35,0
2021,1,9,19,35.440505,129.453077,0.4,199.0,273.8,33.35,3,9.46,14.0,0.9,0.6,0.4,0
2021,1,9,20,35.440275,129.453247,0.4,207.8,270.6,32.2,3,8.68,14.0,0.8,0.6,0.35,0
2021,1,9,21,35.440217,129.453036,0.4,184.4,274.8,28.37,3,6.24,14.0,0.9,0.55,0.4,0
2021,1,9,22,35.448128,129.451061,0.9,140.3,292.9,10.81,1,6.16,14.0,0.75,0.55,0.35,0
